,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.18985557556152344,0.06395169196173814,0.0011700789133707683,0.0008522687630596692,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.600328947368421,0.5891089108910891,0.6303630363036303,0.6065934065934065,0.01740762063855462,150,0.5726072607260726,0.6103789126853377,0.6449752883031301,0.6093204872381801,0.029553601609830144
1,0.26251061757405597,0.021710710984678444,0.0010027090708414714,0.00040928937854328387,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.6332236842105263,0.6683168316831684,0.6749174917491749,0.6587912087912088,0.018307958359130894,86,0.6402640264026402,0.700164744645799,0.6911037891268533,0.6771775200584309,0.02636259647222619
2,0.2580094337463379,0.035590459511943694,0.0011699994405110676,0.00023596713952161197,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.6957236842105263,0.6303630363036303,0.6534653465346535,0.6598901098901099,0.027073907177525502,83,0.6996699669966997,0.6647446457990115,0.6729818780889621,0.6791321636282244,0.014906688081780977
3,0.4461837609608968,0.15480772046345198,0.001002947489420573,2.9736021254650284e-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.6990131578947368,0.6864686468646864,0.7821782178217822,0.7225274725274725,0.04245487633540412,30,0.7194719471947195,0.6820428336079077,0.8088962108731467,0.7368036638919246,0.05321801783640195
4,0.47144412994384766,0.04899101624462368,0.0008354981740315756,0.0002367529170431929,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.743421052631579,0.6666666666666666,0.7524752475247525,0.7208791208791209,0.038480446016808376,32,0.7656765676567657,0.7084019769357496,0.7586490939044481,0.7442425461656544,0.025504981851625023
5,0.5208816528320312,0.09774398133372866,0.001169761021931966,0.00023647199817219763,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.75,0.7293729372937293,0.7904290429042904,0.7565934065934066,0.02534627176198126,16,0.7863036303630363,0.7627677100494233,0.8113673805601318,0.7868129069908637,0.019844000192335128
6,0.5167074203491211,0.07080940268976049,0.0011702378590901692,0.00023647191804512278,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.7368421052631579,0.6716171617161716,0.6996699669966997,0.7027472527472527,0.026723839207728722,44,0.773102310231023,0.7125205930807249,0.7224052718286655,0.7360093917134711,0.02653727154525379
7,0.43570748964945477,0.06565203866710567,0.0011701583862304688,0.00023686530862972825,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.6644736842105263,0.7607260726072608,0.6584158415841584,0.6945054945054945,0.04685178658991589,56,0.6394389438943895,0.7965403624382208,0.6490939044481054,0.695024403593572,0.0718907596794599
8,0.6219840049743652,0.09851374803622176,0.001672506332397461,0.000625350435856785,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.7023026315789473,0.7706270627062707,0.7425742574257426,0.7384615384615385,0.028051856585003292,21,0.7326732673267327,0.7948929159802306,0.7644151565074135,0.7639937799381255,0.02540281268286435
9,0.1467268466949463,0.01785570929772873,0.0008357365926106771,0.000236753077107112,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.631578947368421,0.6006600660066007,0.5693069306930693,0.6005494505494505,0.025429513164822524,154,0.6221122112211221,0.6095551894563427,0.5848434925864909,0.6055036310879852,0.015482262777686004
