,Madelon log-likelihood,cars log-likelihood
2,1.0390757887938868,9.665406230079956
5,2.06170184434897,33.030847817080776
10,3.0640784445629454,42.589830991686206
15,3.752400206510597,49.51139082911839
20,4.532497515645558,54.323513885448044
25,5.147424270186305,54.969905768577284
30,5.833154131238514,56.29717423754228
35,6.515043409094382,58.10771800765418
40,7.123035542225208,58.390839462759565
