,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.0580718994140623,0.06071768902595064,0.008823919296264648,0.0007503801599770736,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.6675824175824175,0.6318681318681318,0.6181318681318682,0.5879120879120879,0.6428571428571429,0.6296703296703297,0.02643079883693557,236,0.6785714285714286,0.617445054945055,0.6222527472527473,0.6778846153846154,0.6311813186813187,0.645467032967033,0.027110944669173184
1,2.2876853466033937,0.15652602793621495,0.007018136978149414,0.0006341438955315704,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.6840659340659341,0.7252747252747253,0.7692307692307693,0.695054945054945,0.760989010989011,0.7269230769230769,0.03407479501915089,80,0.6943681318681318,0.7252747252747253,0.7864010989010989,0.7657967032967034,0.7802197802197802,0.7504120879120879,0.03519433429581788
2,2.5395554065704347,0.13130964912165846,0.009225225448608399,0.0022334404189964987,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.7857142857142857,0.7692307692307693,0.8269230769230769,0.7939560439560439,0.7884615384615384,0.7928571428571428,0.01892217072277202,33,0.7980769230769231,0.8186813186813187,0.8509615384615384,0.8303571428571429,0.8035714285714286,0.8203296703296703,0.019066211164341606
3,2.523111581802368,0.12298903214278915,0.008422660827636718,0.0004914977675943761,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.7252747252747253,0.8379120879120879,0.8489010989010989,0.8351648351648352,0.8241758241758241,0.8142857142857143,0.045195438950942406,19,0.7678571428571429,0.8791208791208791,0.8853021978021978,0.8777472527472527,0.875,0.8570054945054946,0.04470177852998141
4,2.390358734130859,0.20849335663378893,0.009225225448608399,0.0014741101316248458,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.8214285714285714,0.760989010989011,0.7939560439560439,0.8461538461538461,0.8296703296703297,0.8104395604395604,0.029943794710854336,24,0.8358516483516484,0.7788461538461539,0.8317307692307693,0.8935439560439561,0.8605769230769231,0.8401098901098901,0.0377244920742239
5,2.464756393432617,0.13305272636164042,0.008221673965454101,0.0007501634907596493,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",0.7664835164835165,0.8076923076923077,0.782967032967033,0.7527472527472527,0.8159340659340659,0.7851648351648352,0.023912148513174657,36,0.8125,0.8571428571428571,0.8427197802197802,0.8255494505494505,0.8770604395604396,0.8429945054945055,0.022781501265355476
6,2.6679397106170653,0.14655212416509877,0.009424972534179687,0.0013599463247985055,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 30}",0.7417582417582418,0.771978021978022,0.760989010989011,0.7554945054945055,0.7994505494505495,0.765934065934066,0.019379331965437816,49,0.8152472527472527,0.8296703296703297,0.7939560439560439,0.853021978021978,0.8619505494505495,0.8307692307692308,0.02475806738694737
7,2.525919055938721,0.22194218440479532,0.009825849533081054,0.00223305491929223,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 35}",0.7335164835164835,0.7472527472527473,0.6923076923076923,0.7994505494505495,0.717032967032967,0.737912087912088,0.0358029330937251,69,0.8653846153846154,0.864010989010989,0.7822802197802198,0.9375,0.8083791208791209,0.8515109890109891,0.053658354384852544
8,2.4519206047058106,0.18988154857195344,0.009625625610351563,0.0013597003698304917,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 40}",0.7225274725274725,0.7417582417582418,0.7142857142857143,0.5576923076923077,0.717032967032967,0.6906593406593406,0.06717243642620772,133,0.9052197802197802,0.8983516483516484,0.8495879120879121,0.6971153846153846,0.8221153846153846,0.8344780219780219,0.07527798380690791
9,2.472176504135132,0.2519430533550591,0.009224319458007812,0.000400948875361537,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 45}",0.7197802197802198,0.6538461538461539,0.6785714285714286,0.5769230769230769,0.7060439560439561,0.667032967032967,0.05045978669854445,172,0.8571428571428571,0.7348901098901099,0.8331043956043956,0.6854395604395604,0.9388736263736264,0.8098901098901099,0.09002378793091714
10,2.3011212825775145,0.08130090810379875,0.008422374725341797,0.0004911475505360125,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 50}",0.6648351648351648,0.6263736263736264,0.6510989010989011,0.6510989010989011,0.6675824175824175,0.6521978021978022,0.014599264017127925,195,0.7431318681318682,0.7225274725274725,0.7692307692307693,0.8701923076923077,0.8028846153846154,0.7815934065934067,0.05181503673296673
