,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.9124321937561035,0.12387997808557735,0.003509362538655599,0.0007088542238383515,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5,0.5115511551155115,0.5,0.5038461538461538,0.0054437689395087545,110,0.5,0.4802306425041186,0.5,0.4934102141680395,0.009319364496692552
1,1.510192076365153,0.15459494870493357,0.004512945810953776,0.0021662709239900096,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5,0.4933993399339934,0.4884488448844885,0.493956043956044,0.004733398378943617,157,0.5,0.49341021416803954,0.48599670510708404,0.49313563975837454,0.005720117148819229
2,1.8425782521565754,0.017086509463247003,0.003008127212524414,5.840038639982171e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.4605263157894737,0.5363036303630363,0.5874587458745875,0.528021978021978,0.05216331571318329,24,0.47854785478547857,0.5345963756177924,0.5658978583196046,0.5263473629076252,0.03613438286334621
3,1.9690815607706706,0.18633538420668333,0.005181074142456055,0.002398454976808129,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.4720394736842105,0.5082508250825083,0.5,0.49340659340659343,0.01550367190927285,163,0.48102310231023104,0.5304777594728172,0.5041186161449753,0.5052064926426746,0.02020442831366295
4,2.596754868825277,0.21786616581610146,0.004679441452026367,0.0004723819182213035,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.5131578947368421,0.5214521452145214,0.5,0.5115384615384615,0.00882782045256699,73,0.5495049504950495,0.5469522240527183,0.5,0.5321523915159226,0.022759046746546354
5,3.1276706059773765,0.09663363450923611,0.00768740971883138,0.0016546290767396853,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.5,0.5346534653465347,0.5016501650165016,0.512087912087912,0.015957341335739807,71,0.5,0.5263591433278418,0.49835255354200986,0.5082372322899505,0.012831764355351924
6,4.164431969324748,0.5354806073184512,0.009357929229736328,0.002398205837211053,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.5115131578947368,0.528052805280528,0.5214521452145214,0.5203296703296704,0.00680052844678673,48,0.5074257425742574,0.5230642504118617,0.5197693574958814,0.5167531168273335,0.006731221418368482
7,4.7648680210113525,0.46630536315865123,0.009358088175455729,0.003714506352989353,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.5,0.5016501650165016,0.4570957095709571,0.48626373626373626,0.020618927647756555,176,0.5,0.49670510708401977,0.5065897858319605,0.5010982976386601,0.004109453472568853
8,5.078035672505696,0.9305600137133387,0.008021354675292969,0.0014756058630984472,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.4753289473684211,0.5,0.5,0.49175824175824173,0.01163642008710484,172,0.5222772277227723,0.5,0.5,0.5074257425742574,0.010501585859206162
9,1.5101923147837322,0.07289520248368082,0.005681832631429036,0.000472775338871312,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.5805921052631579,0.5874587458745875,0.5891089108910891,0.5857142857142857,0.003689851387617028,2,0.5759075907590759,0.5873146622734761,0.6144975288303131,0.592573260620955,0.016187144539635153
10,2.334221442540487,0.23130387697395277,0.0046799977620442705,0.00023613482349852318,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.48026315789473684,0.5198019801980198,0.5,0.5,0.01614606861344265,126,0.466996699669967,0.5107084019769358,0.5016474464579901,0.4931175160349643,0.01883698515172587
11,2.5721896489461265,0.2106452390185783,0.0050131479899088545,0.0008182867493684569,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.6134868421052632,0.5016501650165016,0.5247524752475248,0.5467032967032966,0.048231066883845916,11,0.58003300330033,0.500823723228995,0.5321252059308073,0.5376606441533774,0.03257308008761954
12,2.5780391693115234,0.2201156686118288,0.008689562479654947,0.004564051778617172,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.48026315789473684,0.5,0.5495049504950495,0.5098901098901099,0.029126180984334952,79,0.4975247524752475,0.5,0.5609555189456342,0.5194934238069605,0.0293355383172415
13,3.3171753883361816,0.5088144689113026,0.0065174102783203125,0.000708741404559194,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.4934210526315789,0.5016501650165016,0.5214521452145214,0.5054945054945055,0.011764604842770704,100,0.5033003300330033,0.49670510708401977,0.5205930807248764,0.5068661726139665,0.010072909084957305
