,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
159,0.3142433166503906,0.08825141185918661,0.0006017208099365235,0.00020041491285875551,0.0001,"(25,)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 30}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.4797687861271676,0.7122093023255814,0.6579861111111112,0.08931010028510702,166,0.7004341534008683,0.6975397973950795,0.7004341534008683,0.8733719247467439,0.7622832369942196,0.7468126531875559,0.06780314592079782
160,0.30450925827026365,0.025930524951775766,0.0007018089294433594,0.0002453596445104142,0.0001,"(25,)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 35}",0.6994219653179191,0.6705202312138728,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.6944444444444444,0.012073587439568377,140,0.7047756874095513,0.7149059334298119,0.6881331403762663,0.7301013024602026,0.6994219653179191,0.7074676057987502,0.014236665698426559
161,0.2944824695587158,0.014375256244814592,0.0005015850067138672,2.78041453115716e-07,0.0001,"(25,)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 40}",0.7514450867052023,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7106481481481481,0.02047369423248287,38,0.7149059334298119,0.7004341534008683,0.7004341534008683,0.6975397973950795,0.6986994219653179,0.7024026919183892,0.0063473346780053485
162,0.09786620140075683,0.012433922061574246,0.0005014896392822266,3.5683225505580346e-07,0.0001,"(25, 25)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 2}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,68,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
163,0.12583470344543457,0.00916879487172697,0.0006016254425048828,0.0002005815718526227,0.0001,"(25, 25)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 5}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,68,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
164,0.16844816207885743,0.013407518999381036,0.0006013393402099609,0.00020060547746384954,0.0001,"(25, 25)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 10}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7052023121387283,0.7034883720930233,0.7013888888888888,0.002472498717050881,56,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.703328509406657,0.6994219653179191,0.7008105869854362,0.0013185833447724362
165,0.21556997299194336,0.00826011760253963,0.0006014347076416015,0.0002005578221109009,0.0001,"(25, 25)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 15}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,68,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
166,0.25979366302490237,0.06034167109585447,0.0006991863250732422,0.00024763965687304204,0.0001,"(25, 25)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 20}",0.6994219653179191,0.6994219653179191,0.5491329479768786,0.6994219653179191,0.7034883720930233,0.6701388888888888,0.0605671480825097,155,0.7004341534008683,0.7004341534008683,0.7850940665701881,0.7040520984081042,0.6994219653179191,0.7178872874195896,0.03364031959791755
167,0.40758399963378905,0.0792525817059061,0.0008020877838134765,0.0002459047606731931,0.0001,"(25, 25)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 25}",0.7138728323699421,0.7283236994219653,0.5895953757225434,0.8786127167630058,0.7034883720930233,0.7228009259259259,0.09225102239626448,29,0.8986975397973951,0.9290882778581766,0.7981186685962374,0.8545586107091172,0.7073699421965318,0.8375666078314914,0.07862473750882275
168,0.3004049301147461,0.056062051628251126,0.0007020473480224609,0.00024555421974653687,0.0001,"(25, 25)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 30}",0.6994219653179191,0.6994219653179191,0.7225433526011561,0.6994219653179191,0.5930232558139535,0.6828703703703703,0.04568088358451869,151,0.7004341534008683,0.7004341534008683,0.8603473227206947,0.7004341534008683,0.6705202312138728,0.7264340028274345,0.06795160573746659
169,0.3141350746154785,0.015168389174710585,0.0008028507232666016,0.00024623852381858136,0.0001,"(25, 25)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 35}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,68,0.7004341534008683,0.6989869753979739,0.7004341534008683,0.7004341534008683,0.6979768786127167,0.699653262842659,0.0010083226901191468
170,0.378706169128418,0.11787231347599332,0.0008023738861083985,0.0002455543123426376,0.0001,"(25, 25)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 40}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.8517441860465116,0.7297453703703703,0.06082285346534617,18,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6859623733719248,0.9104046242774566,0.7395338915703973,0.08561902058855117
