,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
53,1.782434384028117,0.019641395538622985,0.0023396809895833335,0.0002362471348530647,0.01,"(50, 50)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.4769736842105263,0.5,0.5,0.49230769230769234,0.010860658747964522,169,0.5181518151815182,0.5,0.5,0.5060506050605061,0.008556847737130963
54,0.5915900866190592,0.055402619332827294,0.0016713142395019531,0.0002363596066142699,0.01,"(50,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.5575657894736842,0.5874587458745875,0.5924092409240924,0.5791208791208792,0.01539992616784544,4,0.5528052805280528,0.5873146622734761,0.613673805601318,0.5845979161342822,0.024923614884112055
55,1.00802214940389,0.011242811116762416,0.0016713937123616536,0.00023596617593769876,0.01,"(50,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.48026315789473684,0.5198019801980198,0.5,0.5,0.01614606861344265,126,0.4661716171617162,0.5107084019769358,0.5016474464579901,0.492842488532214,0.019218511275595884
56,1.1236673990885417,0.05186338163368032,0.0018381277720133464,0.00023647199817219763,0.01,"(50,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.6134868421052632,0.5016501650165016,0.5181518151815182,0.5445054945054945,0.049319362837849864,15,0.58003300330033,0.500823723228995,0.5304777594728172,0.5371114953340473,0.03267549898585815
57,1.3098251819610596,0.01657808350306721,0.002005418141682943,2.9736021254650284e-07,0.01,"(50,)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.48026315789473684,0.5,0.5495049504950495,0.5098901098901099,0.029126180984334952,79,0.4975247524752475,0.5,0.5609555189456342,0.5194934238069605,0.0293355383172415
58,1.386543830235799,0.022846109528583215,0.0018384456634521484,0.0002365281338701493,0.01,"(50,)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.4934210526315789,0.5016501650165016,0.523102310231023,0.506043956043956,0.012511857699776092,95,0.5033003300330033,0.49670510708401977,0.5164744645799012,0.5054933005656413,0.00821842295365541
59,1.5312484900156658,0.03796405629059714,0.002005497614542643,0.00040899738819590194,0.01,"(50,)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.5,0.5016501650165016,0.5,0.5005494505494505,0.0007776812770726642,121,0.5,0.5032948929159803,0.5,0.5010982976386601,0.0015532274161154515
60,1.5777068138122559,0.013175647071384586,0.0021730264027913413,0.00023664052545666658,0.01,"(50,)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.5032894736842105,0.5594059405940595,0.5,0.5208791208791209,0.02725325079256822,42,0.514026402640264,0.5551894563426688,0.5,0.523071952994311,0.023421293854888198
61,1.6975629329681396,0.03619400324018349,0.002172231674194336,0.0002360223516610066,0.01,"(50,)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",0.5,0.4900990099009901,0.5165016501650165,0.5021978021978022,0.010884792129363748,117,0.5,0.5057660626029654,0.5164744645799012,0.5074135090609556,0.006825811584105487
62,1.7551799615224202,0.04042120676348773,0.002506097157796224,0.0004090948032233019,0.01,"(50,)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",0.587171052631579,0.4636963696369637,0.5148514851485149,0.521978021978022,0.05067287971719289,39,0.5462046204620462,0.4925864909390445,0.5247116968698518,0.5211676027569808,0.022032497296751025
63,0.5735290050506592,0.036271058706183676,0.0016713937123616536,0.00023613546542944222,0.01,"(25,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",0.59375,0.5462046204620462,0.5495049504950495,0.5631868131868132,0.02168891410888685,6,0.5552805280528053,0.5609555189456342,0.5741350906095551,0.5634570458693315,0.007897968515767653
64,0.9762738545735677,0.022749960902449712,0.0021729469299316406,0.00047271909298078065,0.01,"(25,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.5,0.504950495049505,0.5412541254125413,0.5153846153846153,0.01838889102197385,59,0.5,0.49917627677100496,0.5584843492586491,0.5192202086765514,0.027765976562783304
65,1.1268525123596191,0.004184537077743404,0.0018387635548909504,0.00023709009180282592,0.01,"(25,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.5476973684210527,0.5445544554455446,0.5,0.5307692307692308,0.021777055398927814,20,0.5486798679867987,0.5131795716639209,0.5,0.5206198132169065,0.020558052478742844
66,1.260526974995931,0.022421421270727444,0.0018382072448730469,0.0002365281338701493,0.01,"(25,)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 15}",0.5016447368421053,0.5,0.4801980198019802,0.493956043956044,0.0097435519037184,157,0.4991749174917492,0.5,0.4950576606260296,0.4980775260392596,0.0021617709748988005
67,1.3877027829488118,0.026140381536317845,0.0018386046091715496,0.00023664052545666658,0.01,"(25,)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 20}",0.5,0.5,0.4933993399339934,0.4978021978021978,0.0031107251082907353,151,0.5,0.5,0.5082372322899505,0.5027457440966502,0.00388306854028855
68,1.4958256880442302,0.07112236070188574,0.0018336772918701172,0.00023338414633451495,0.01,"(25,)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 25}",0.4868421052631579,0.5495049504950495,0.4752475247524752,0.5038461538461538,0.03260465587780219,110,0.4793729372937294,0.5939044481054365,0.5230642504118617,0.5321138786036759,0.047193139120078366
