,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.28252487182617186,0.048504190367374966,0.0004010200500488281,0.0004911472727697004,0.1,"(50, 50)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",0.6878612716763006,0.8323699421965318,0.815028901734104,0.8554913294797688,0.7325581395348837,0.7847222222222222,0.06373060551046789,8,0.9884225759768451,0.9869753979739508,0.984081041968162,0.9732272069464544,0.9963872832369942,0.9858187012204812,0.007501709467795985
1,0.21837267875671387,0.04832265495891127,0.0006012439727783204,0.000490913810184379,0.1,"(50,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,)}",0.684971098265896,0.838150289017341,0.7167630057803468,0.7398843930635838,0.6598837209302325,0.7280092592592593,0.06146043153134154,14,0.9739507959479016,0.9696092619392185,0.9261939218523878,0.9725036179450073,0.9869942196531792,0.9658503634675389,0.020706077055812344
2,0.22016491889953613,0.05965912743734868,0.0006015300750732422,0.0004911474116528761,0.1,"(25,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,)}",0.5317919075144508,0.8497109826589595,0.7196531791907514,0.7572254335260116,0.6395348837209303,0.6996527777777778,0.10776805289381194,17,0.9638205499276411,0.9782923299565847,0.9334298118668596,0.9710564399421129,0.9508670520231214,0.9594932367432639,0.015871687952896948
3,0.19630227088928223,0.08660777179107268,0.0006031036376953125,0.0004924431627521441,0.1,"(25, 25)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25)}",0.708092485549133,0.8641618497109826,0.6994219653179191,0.7225433526011561,0.7005813953488372,0.7390046296296297,0.0631641106488664,12,0.9529667149059334,0.9927641099855282,0.6997105643994211,0.9848046309696092,0.9812138728323699,0.9222919786185724,0.11209760748847547
4,0.39440550804138186,0.04706055921257195,0.0010083675384521484,1.1878510345706322e-05,0.1,"(100, 25, 100)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100)}",0.7398843930635838,0.9046242774566474,0.838150289017341,0.8728323699421965,0.7441860465116279,0.8200231481481481,0.06699394487404481,3,0.9956584659913169,0.992040520984081,1.0,0.9978292329956585,0.9978323699421965,0.9966721179826505,0.002692176799582426
5,0.25946803092956544,0.043776428493836346,0.0008018970489501953,0.00040094859181696337,0.01,"(50, 50)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50)}",0.6907514450867052,0.8323699421965318,0.815028901734104,0.8786127167630058,0.7383720930232558,0.7910879629629629,0.06751980663979706,7,0.9891461649782923,0.9869753979739508,0.983357452966715,0.9522431259044862,0.9942196531791907,0.9811883590005269,0.014894043182754946
6,0.22676439285278321,0.057002096703667696,0.0006015300750732422,0.0004911472727697004,0.01,"(50,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,)}",0.6907514450867052,0.8352601156069365,0.7167630057803468,0.7427745664739884,0.6598837209302325,0.7291666666666666,0.059772245464859874,13,0.975397973950796,0.9703328509406657,0.9261939218523878,0.9732272069464544,0.9877167630057804,0.9665737433392169,0.02104197603718485
7,0.22898550033569337,0.043287611958284594,0.0006015300750732422,0.0004911474579472593,0.01,"(25,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,)}",0.5317919075144508,0.815028901734104,0.7196531791907514,0.7543352601156069,0.6395348837209303,0.6921296296296297,0.09822982771049646,18,0.9659913169319826,0.9703328509406657,0.9327062228654125,0.9732272069464544,0.9501445086705202,0.958480421271007,0.015153600712673878
8,0.22096428871154786,0.10393526040651307,0.00040116310119628904,0.0004913224565664367,0.01,"(25, 25)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25)}",0.7167630057803468,0.8641618497109826,0.6994219653179191,0.7341040462427746,0.7005813953488372,0.7430555555555556,0.061899638731927824,11,0.9544138929088278,0.9934876989869754,0.6997105643994211,0.9717800289435601,0.9819364161849711,0.9202657202847512,0.1110217378495287
9,0.398622989654541,0.06517660382931506,0.001004171371459961,2.591643951740492e-06,0.01,"(100, 25, 100)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100)}",0.7369942196531792,0.9046242774566474,0.8236994219653179,0.8728323699421965,0.75,0.8177083333333334,0.06591925141612953,4,0.9956584659913169,0.9869753979739508,1.0,0.9978292329956585,0.9978323699421965,0.9956590933806245,0.004553738542109301
10,0.27905025482177737,0.05990999372213465,0.0008021354675292969,0.0004010679747059531,0.001,"(50, 50)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50)}",0.6936416184971098,0.8352601156069365,0.815028901734104,0.8786127167630058,0.7383720930232558,0.7922453703703703,0.06702670844086468,5,0.9891461649782923,0.9869753979739508,0.983357452966715,0.9522431259044862,0.9942196531791907,0.9811883590005269,0.014894043182754946
11,0.20211691856384278,0.0463438955350836,0.0006014823913574219,0.0004911084163440436,0.001,"(50,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,)}",0.6907514450867052,0.7774566473988439,0.7167630057803468,0.7427745664739884,0.6598837209302325,0.7175925925925926,0.040643780414730095,15,0.975397973950796,0.9544138929088278,0.9261939218523878,0.9732272069464544,0.9877167630057804,0.9633899517328492,0.021433022210195114
