,Madelon SSE (left),cars SSE (left)
2,901709.4212306889,29401.37698507528
5,891880.8627348235,23544.0
10,885554.7495464822,20766.52100840336
15,881723.6105713038,18434.347508305647
20,878695.336026744,16864.210733907363
25,875795.699936256,16172.144927536232
30,873355.7304788167,15779.951647102542
35,870519.7630835772,15255.898390057366
40,867758.1946990085,14763.80184162816
