,Madelon log-likelihood,cars log-likelihood
2,-591.9980049574192,9.665406229905855
5,329.7913391483455,33.03084781697554
10,1286.1184380484647,42.5900889788944
15,1713.3630477110066,49.153591236177775
20,2010.1218054053866,53.85643921491168
25,2076.2945493028,54.42454792092686
30,2223.6876783368857,55.6359184560475
35,2336.451250303373,57.73706583316301
40,2414.313479303647,60.02455602425915
