,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.4072442054748535,0.08497484174759622,0.0010035037994384766,7.539457464619588e-07,0.1,"(50, 50)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",0.4697802197802198,0.5769230769230769,0.5631868131868132,0.5,0.5357142857142857,0.5291208791208791,0.039644294522082284,17,0.9546703296703297,0.9567307692307693,0.9567307692307693,0.8935439560439561,0.9532967032967034,0.9429945054945055,0.024759591569999673
1,0.18948664665222167,0.008045235774386313,0.0010025501251220703,3.9895058943465975e-07,0.1,"(50,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,)}",0.5741758241758241,0.5302197802197802,0.5384615384615384,0.5,0.5247252747252747,0.5335164835164835,0.024038069070579496,16,0.7548076923076923,0.6401098901098901,0.7135989010989011,0.7184065934065934,0.7678571428571429,0.718956043956044,0.04454744664982451
2,0.22998948097229005,0.032422863508384095,0.0012033939361572265,0.00040121135163046146,0.1,"(25,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,)}",0.5686813186813187,0.5467032967032966,0.5274725274725275,0.5439560439560439,0.5741758241758241,0.5521978021978022,0.017112540112524645,3,0.8811813186813187,0.9244505494505495,0.8543956043956044,0.8605769230769231,0.7259615384615384,0.8493131868131869,0.06637700349824927
3,0.40022692680358884,0.14553868714098944,0.0010027885437011719,3.015782985847835e-07,0.1,"(25, 25)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25)}",0.5412087912087912,0.5576923076923077,0.5769230769230769,0.5,0.5576923076923077,0.5467032967032966,0.025946635061796904,9,0.9608516483516484,0.9608516483516484,0.9539835164835165,0.9464285714285714,0.7335164835164835,0.9111263736263737,0.08896455341471501
4,0.3799734592437744,0.04176609166236904,0.002007722854614258,5.7596718002996975e-06,0.1,"(100, 25, 100)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100)}",0.5412087912087912,0.5714285714285714,0.5357142857142857,0.5384615384615384,0.5274725274725275,0.5428571428571428,0.015007143168953465,11,0.8145604395604396,0.801510989010989,0.7541208791208791,0.9354395604395604,0.8578296703296703,0.8326923076923076,0.06109565223791727
5,0.31200103759765624,0.07712704427302365,0.0014039039611816405,0.0004910694133084608,0.01,"(50, 50)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50)}",0.4835164835164835,0.5796703296703297,0.5686813186813187,0.5,0.49725274725274726,0.5258241758241758,0.04002323923400948,18,0.8660714285714286,0.8818681318681318,0.9567307692307693,0.8949175824175825,0.9436813186813187,0.9086538461538461,0.03537721323846388
6,0.18808279037475586,0.013111554697149731,0.0012060642242431641,0.0003996750414647483,0.01,"(50,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,)}",0.5741758241758241,0.5521978021978022,0.5412087912087912,0.5,0.5247252747252747,0.5384615384615384,0.025058800551629394,13,0.7548076923076923,0.7074175824175825,0.7122252747252747,0.7197802197802198,0.7664835164835165,0.7321428571428571,0.023890833971052315
7,0.2217700958251953,0.03465395740858291,0.0010013580322265625,2.989278415423866e-06,0.01,"(25,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,)}",0.5714285714285714,0.5521978021978022,0.5302197802197802,0.5412087912087912,0.5741758241758241,0.5538461538461539,0.016988598718395927,1,0.8811813186813187,0.9230769230769231,0.853021978021978,0.8605769230769231,0.7252747252747253,0.8486263736263737,0.06630305405071565
8,0.34388246536254885,0.15804376903476075,0.0010081291198730468,0.0006343071448388824,0.01,"(25, 25)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25)}",0.5412087912087912,0.5521978021978022,0.5714285714285714,0.5247252747252747,0.5576923076923077,0.5494505494505495,0.015733869300303675,7,0.9505494505494505,0.9608516483516484,0.9519230769230769,0.8633241758241759,0.7328296703296703,0.8918956043956046,0.087082495411677
9,0.3717515468597412,0.042416728700187985,0.0022058963775634767,0.00040099621882258053,0.01,"(100, 25, 100)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100)}",0.5467032967032966,0.5796703296703297,0.5412087912087912,0.5467032967032966,0.5247252747252747,0.5478021978021979,0.01785502946073839,8,0.8173076923076923,0.8791208791208791,0.7541208791208791,0.9354395604395604,0.9381868131868132,0.8648351648351648,0.0708322530113127
10,0.4321082592010498,0.1529761750967956,0.0016047000885009766,0.0004913617912000314,0.001,"(50, 50)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50)}",0.4725274725274725,0.5714285714285714,0.5631868131868132,0.5,0.49725274725274726,0.5208791208791209,0.03918472380148446,19,0.9553571428571429,0.9567307692307693,0.9574175824175825,0.8935439560439561,0.9443681318681318,0.9414835164835165,0.024435110572044384
11,0.18547554016113282,0.008900116299539651,0.00100250244140625,9.344061823971473e-07,0.001,"(50,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,)}",0.5714285714285714,0.5521978021978022,0.5412087912087912,0.49725274725274726,0.5247252747252747,0.5373626373626373,0.02515499591705405,14,0.7548076923076923,0.7074175824175825,0.7129120879120879,0.7190934065934066,0.7664835164835165,0.7321428571428571,0.023851312299705135
