,N_Components,Reconstruction_Error
0,2,0.9766009330183667
1,5,0.956649966005606
2,10,0.934709613164095
3,15,0.9135919741605396
4,20,0.893012064215843
5,25,0.8729118296948604
6,30,0.8533029830454104
7,35,0.834146089009982
8,40,0.815405256557272
9,45,0.797064174636272
10,50,0.7791302240436998
11,55,0.7615528025302014
12,60,0.7442759299335079
