,Madelon SSE (left),cars SSE (left)
2,25919.16941154667,20441.92717451741
5,23805.08093234486,16487.993517215116
10,21680.907242766734,14458.596181119547
15,20389.563031612735,12721.524125015381
20,19498.187803148932,11919.971622765608
25,18810.76244374593,11240.39323710842
30,18196.739312347258,10801.409464029452
35,17761.460020730257,10528.748074249392
40,17291.711201727332,10001.67462663793
