,Madelon log-likelihood,cars log-likelihood
2,-7.041436466927569,-10.58152743206789
5,-6.890620277137698,1.6455303107994244
10,-6.7013003414234795,10.616309648182177
15,-6.5625706807138355,15.609576612542345
20,-6.41155057086626,19.99636652251915
25,-6.307288478849918,21.279707916401634
30,-6.248075043932687,25.125397874092133
35,-6.159841053360771,26.803254355192756
40,-6.09337933961807,28.283456201549416
