,Madelon log-likelihood,cars log-likelihood
2,1.0390757887938868,7.915067957550379
5,2.06170184434897,23.857467816419653
10,3.0640784445629454,33.86362797156961
15,3.752400206510597,39.23621834457198
20,4.532497515645558,44.04340707877688
25,5.147424270186305,46.179992700657124
30,5.833154131238514,48.47254665244504
35,6.515043409094382,50.247996648194245
40,7.123035542225208,52.7896722602242
