,Madelon SSE (left),cars SSE (left)
2,28705.25408074417,29338.992861277256
5,20445.129041069446,23544.000000000007
10,15352.663874914237,20766.521008403368
15,12960.180399735269,18488.572240372243
20,11325.966355429731,16867.245019621652
25,10225.174335310752,16211.403330003333
30,9350.47831314506,15740.781910685699
35,8766.868271192585,15300.442907178825
40,8250.719040520094,14876.435168535172
