,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.6756252765655517,0.11153213517531774,0.006821489334106446,0.001171767747476776,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.6675824175824175,0.6318681318681318,0.6181318681318682,0.5879120879120879,0.6428571428571429,0.6296703296703297,0.02643079883693557,236,0.6785714285714286,0.617445054945055,0.6222527472527473,0.6778846153846154,0.6311813186813187,0.645467032967033,0.027110944669173184
1,1.9767505645751953,0.07996534134089829,0.0070188045501708984,0.0006337669379821154,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.6840659340659341,0.7252747252747253,0.7692307692307693,0.695054945054945,0.760989010989011,0.7269230769230769,0.03407479501915089,80,0.6943681318681318,0.7252747252747253,0.7864010989010989,0.7657967032967034,0.7802197802197802,0.7504120879120879,0.03519433429581788
2,2.032295036315918,0.12284594820911586,0.006817865371704102,0.0002448349352219612,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.7857142857142857,0.7692307692307693,0.8269230769230769,0.7939560439560439,0.7884615384615384,0.7928571428571428,0.01892217072277202,33,0.7980769230769231,0.8186813186813187,0.8509615384615384,0.8303571428571429,0.8035714285714286,0.8203296703296703,0.019066211164341606
3,2.0319055557250976,0.1092540991868685,0.007520008087158203,0.0008391071137868242,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.7252747252747253,0.8379120879120879,0.8489010989010989,0.8351648351648352,0.8241758241758241,0.8142857142857143,0.045195438950942406,19,0.7678571428571429,0.8791208791208791,0.8853021978021978,0.8777472527472527,0.875,0.8570054945054946,0.04470177852998141
4,1.921899175643921,0.09856466457081198,0.007018852233886719,0.0003169597028589651,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.8214285714285714,0.760989010989011,0.7939560439560439,0.8461538461538461,0.8296703296703297,0.8104395604395604,0.029943794710854336,24,0.8358516483516484,0.7788461538461539,0.8317307692307693,0.8935439560439561,0.8605769230769231,0.8401098901098901,0.0377244920742239
5,2.065733766555786,0.0943840823406159,0.008121538162231445,0.0003753622736181608,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",0.7664835164835165,0.8076923076923077,0.782967032967033,0.7527472527472527,0.8159340659340659,0.7851648351648352,0.023912148513174657,36,0.8125,0.8571428571428571,0.8427197802197802,0.8255494505494505,0.8770604395604396,0.8429945054945055,0.022781501265355476
6,1.90886492729187,0.0705724736643638,0.007620096206665039,0.0004912932867452512,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 30}",0.7417582417582418,0.771978021978022,0.760989010989011,0.7554945054945055,0.7994505494505495,0.765934065934066,0.019379331965437816,49,0.8152472527472527,0.8296703296703297,0.7939560439560439,0.853021978021978,0.8619505494505495,0.8307692307692308,0.02475806738694737
7,2.0379120349884032,0.14277136755806527,0.0072194099426269535,0.00024520395660897367,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 35}",0.7335164835164835,0.7472527472527473,0.6923076923076923,0.7994505494505495,0.717032967032967,0.737912087912088,0.0358029330937251,69,0.8653846153846154,0.864010989010989,0.7822802197802198,0.9375,0.8083791208791209,0.8515109890109891,0.053658354384852544
8,2.0200597286224364,0.1287529711579652,0.007921504974365234,0.000491449028808522,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 40}",0.7225274725274725,0.7417582417582418,0.7142857142857143,0.5576923076923077,0.717032967032967,0.6906593406593406,0.06717243642620772,133,0.9052197802197802,0.8983516483516484,0.8495879120879121,0.6971153846153846,0.8221153846153846,0.8344780219780219,0.07527798380690791
9,2.0151790142059327,0.14910597500148692,0.007820940017700196,0.0005115671754406685,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 45}",0.7197802197802198,0.6538461538461539,0.6785714285714286,0.5769230769230769,0.7060439560439561,0.667032967032967,0.05045978669854445,172,0.8571428571428571,0.7348901098901099,0.8331043956043956,0.6854395604395604,0.9388736263736264,0.8098901098901099,0.09002378793091714
10,1.9160277843475342,0.07919440191737087,0.00802164077758789,0.00031710966700419877,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 50}",0.6648351648351648,0.6263736263736264,0.6510989010989011,0.6510989010989011,0.6675824175824175,0.6521978021978022,0.014599264017127925,195,0.7431318681318682,0.7225274725274725,0.7692307692307693,0.8701923076923077,0.8028846153846154,0.7815934065934067,0.05181503673296673
