,0,1,2,3,4,5,6,7,8,9
2,0.9960595302365094,0.996022143168949,0.996165892265061,0.9959839718293902,0.9960841683110986,0.9958971273323102,0.9960755571510719,0.996075970924514,0.9960105389454973,0.9959699402045227
5,0.9902475523629738,0.9902095335431932,0.9900084723459935,0.9901619483856894,0.9901784525467424,0.9902581693880688,0.9901983258108862,0.9897240989471651,0.9895432989949431,0.9902956927735408
10,0.9800178121430234,0.9800890567043617,0.9802319641967967,0.9801090946775223,0.9799833982717299,0.9800699750656512,0.9799666626843406,0.9799128208572463,0.9801306369527513,0.9799038478014381
15,0.9693996370250773,0.9697962279557577,0.9693992153828387,0.9702434244683829,0.9699676143875366,0.9696548208149135,0.9697563280735267,0.9700248176320189,0.9701807412667001,0.9699360208424862
20,0.9596355332395988,0.9602229195219439,0.9596243978939275,0.9602561865884749,0.960520303389845,0.9600032553559356,0.9597761416756049,0.9601628201222654,0.9595166681830495,0.96014175488869
25,0.9500430259469439,0.9494101010794699,0.9500294082677587,0.9506701479877634,0.9500337198527236,0.9504636503800958,0.9498325374432407,0.9499138240521127,0.9499463472989664,0.9509098253944188
30,0.9395864242414599,0.9401923261502155,0.9402110604440777,0.9399796524208959,0.9394902505822909,0.9403387901412039,0.9395687353771741,0.9392019339240898,0.9400335895312403,0.93957042165187
35,0.9299884268048628,0.9294050554519309,0.9299635938911344,0.9305748966060063,0.9299503335293906,0.9304855529031277,0.9299691506091615,0.9299974671557983,0.9303738683925417,0.9293748318165546
40,0.920438784672324,0.9200225776931457,0.9203759106399492,0.9191545586631438,0.9199139283258168,0.9193764081108123,0.9209221509613722,0.9207586414230692,0.9192933390527321,0.9204533805217788
45,0.9095144682251635,0.910166323411953,0.909458921351783,0.9100019436883358,0.9091519884060797,0.9091881928248775,0.91074207243007,0.9094587350576977,0.9102840287203192,0.9103915065712476
50,0.8993656298964519,0.9001406157091105,0.8999152540795337,0.9001445761199979,0.9009188630810459,0.9004711476264549,0.8997001850273908,0.8998495281950603,0.9003744438261988,0.900389547427429
55,0.8910557781686334,0.8896336728073392,0.889587801921341,0.8896840520566446,0.890026751453374,0.8898993984962325,0.8901678690144892,0.8895896169405619,0.8905963040878193,0.8906329672406504
60,0.8795896627857939,0.8805391081877751,0.8808250654581906,0.8798146194096743,0.8792105832755239,0.8792981028772363,0.879386617706798,0.87966067825638,0.8804969406294407,0.8796761860025133
