,0,1,2,3,4,5,6,7,8,9
2,0.8734567901234568,0.8762183235867447,0.8888888888888888,0.8703703703703705,0.870967741935484,0.8888888888888888,0.8897849462365592,0.905982905982906,0.889694041867955,0.8796296296296298
4,0.7760942760942762,0.7714120370370371,0.7526455026455027,0.7723765432098766,0.7860623781676415,0.7844045025417575,0.7780404517993172,0.7908844917977338,0.775706627680312,0.7784391534391534
6,0.6866207292563882,0.725289423919561,0.6433683330721414,0.6996586873299203,0.6573139367571916,0.6553803096882193,0.6457962942241784,0.7463420210333792,0.6424848064111465,0.6343178621659634
8,0.5611979166666666,0.5582210998877667,0.5894571489367029,0.5256921536998896,0.5259432813280233,0.5039486751678386,0.5269254317893809,0.6256890152412541,0.547532362459547,0.5565075855291445
10,0.49186203955955254,0.43922127255460586,0.42643258433866654,0.45403841185747296,0.44039269766220124,0.48343584306629006,0.42326868945185897,0.47083773488267877,0.44969248510474724,0.45332681416289783
12,0.3440990270911189,0.31552309281392954,0.35509509049860327,0.3574750601294679,0.3073252896236735,0.3309625919378424,0.33122462400640473,0.40239101002533434,0.3499501366385619,0.34201245934908636
14,0.2301087561822781,0.23157348857439197,0.2844054215445292,0.21090194566695583,0.22301578861001198,0.23732300157701802,0.2196229099800787,0.272893323021991,0.22686527486400201,0.20312671722167275
16,0.11111111111111112,0.12214005814688408,0.16560380455201598,0.10967985849502426,0.1300864287596004,0.12666168546250214,0.11946629120017933,0.16071994979989254,0.13024519143531124,0.10022297512524256
18,4.2237699987095503e-29,2.7140681107126563e-29,0.05825809225477549,3.793380790458231e-27,1.792013100421064e-29,1.7899876640962167e-29,1.2709421435197185e-28,0.04559855406518736,1.2336276332592316e-28,1.9433885884965296e-29
20,7.095750059086035e-30,4.186334081550419e-30,1.223418672924507e-29,4.453399339286227e-30,3.7536802600539314e-30,7.638686057036412e-30,2.5447487016427844e-29,4.3006875589849965e-30,6.750974915080788e-30,4.2212118406513204e-30
