,0,1,2,3,4,5,6,7,8,9
2,0.08221927314421097,0.07445464537411814,0.07680572360270793,0.0749678002232211,0.07050155469301346,0.08025667522333188,0.07771474922793815,0.06185121726814217,0.06603050918316328,0.09103868263081114
5,0.13140425036044473,0.13781366553506103,0.13100053008443543,0.12618475586661584,0.11814199358734866,0.10068453507427333,0.12409100767025637,0.1293697296688304,0.11661106658595877,0.11632108786660021
10,0.18669394204619189,0.1757891444111275,0.16692447267746197,0.1731001205571806,0.17951124928450876,0.16637633956132605,0.16108553900568628,0.17850559626938142,0.1758898527175953,0.18365574025293105
15,0.23297145033917477,0.21980379482871104,0.2252391921741363,0.23515747852997676,0.2051690369991522,0.21137533521434992,0.21644316676283143,0.2024431423711796,0.22524208599585752,0.20553419382204305
20,0.26257436425512254,0.2605201221709366,0.25739684457169465,0.25568093265689673,0.26591659894693126,0.2635111587649822,0.24179064208125847,0.24930487069383517,0.24333572218230012,0.2488785685645009
25,0.29724973481360023,0.25605940526281673,0.28435490262193064,0.28137088350071093,0.26852728213148497,0.27600600845409323,0.26880393771062966,0.27270773171653123,0.2866085009471864,0.26731177568193004
30,0.30486220154297167,0.29415407196091753,0.28862304552032425,0.3047662362109648,0.30230172639948566,0.2866726395521765,0.31942703393644406,0.29562675691579515,0.2976062367237303,0.3092008277309728
35,0.30328452795311783,0.33032649661666463,0.32098179304931956,0.3351930365867256,0.326025617570368,0.30034359771672103,0.30786125126149233,0.3096787724549191,0.322406425753789,0.32345416632495044
40,0.3430271777075805,0.34752282864420175,0.3441682270974502,0.35779746876443125,0.33676319384451,0.333798838778861,0.3268636240692211,0.33648241326027456,0.35588439920921255,0.33036912046589534
45,0.3550759868432241,0.3552888393806134,0.36665738448765284,0.3489764065169609,0.3681320201484839,0.36888144673161816,0.3586754664929856,0.34495963614475905,0.3437773526044607,0.3593492544494826
50,0.38007533154112844,0.37458534885833616,0.3700158713823872,0.3695553388038875,0.3695462000272604,0.37924630886366156,0.36764049008925226,0.371999751610428,0.3851510324056661,0.3773655222866834
55,0.38067830657311585,0.3913185515462705,0.40029444017209626,0.3902133706289118,0.3797451968647078,0.386419683876019,0.3769936551513614,0.384566644011454,0.3938527196539267,0.40092858489890393
60,0.4035068836600985,0.38109069042499233,0.3999352875980216,0.40215592737023204,0.39480646467596775,0.4113804618906922,0.40691835588151,0.3991233113873877,0.40034018056682347,0.4094755819229897
