,Madelon log-likelihood,cars log-likelihood
2,-28.02991973771777,122.76452506708667
5,-27.694046049491693,134.87893795340412
10,-27.100836394938046,141.73661635510595
15,-26.631043042176255,151.61192061229653
20,-26.090118353168958,155.7135244719889
25,-25.733140469365818,156.79360831311138
30,-25.30140713825602,159.32194984703796
35,-24.958272500155157,162.02968791553528
40,-24.609558504821724,163.23868205112436
