,0,1,2,3,4,5,6,7,8,9
2,0.30030764631942375,0.3102297858392169,0.30120898669716156,0.321458114439748,0.278856077967545,0.28985782660948906,0.2974439534523892,0.2575748223675805,0.293246872784429,0.2673846091527356
5,0.4386822552456191,0.49959252079515787,0.4810281311076154,0.46818519737103953,0.40476544757882693,0.3965537759206385,0.4203312978230537,0.387844153305366,0.4424980632385401,0.41469689098823753
10,0.5000758883387311,0.588175045812903,0.5842244543026004,0.5832965924633199,0.5722100695559479,0.5929418015974192,0.5906067227811053,0.5724958213148371,0.5761874050786305,0.6076610282511302
15,0.6405753358985552,0.6007365749649446,0.6576615543901858,0.6501657467154609,0.6606934429417962,0.6482128615437373,0.6446350137518653,0.6451659481042937,0.6298153226513306,0.6347139067510075
20,0.6803871190771138,0.7345768849697983,0.7117728995154562,0.7049565782079101,0.6943884029447097,0.7229709286928921,0.7002517937089919,0.6955640928987518,0.7179329689926655,0.7032580688906696
25,0.7239303131154206,0.7384806829324457,0.733135178068702,0.7387203633846386,0.7400422679256808,0.6971681366969148,0.7326250090135383,0.7477988513615909,0.7131589511656202,0.7264516823907958
30,0.73131725917744,0.7576934640075985,0.7778564638109473,0.7603978746878075,0.7732205186369453,0.7900009069843428,0.7272724889218556,0.7882817208207675,0.7545156174548949,0.772026844829336
35,0.7889875337171487,0.7516850284823763,0.7995410879286716,0.8016493554089019,0.7978174726577549,0.7826611746412641,0.7687359067596677,0.8118110713566683,0.7862182514332433,0.7864777175232887
40,0.8034111635669331,0.8328012316263834,0.8081126698831467,0.8474470221759014,0.8385400809669288,0.8406819073414772,0.7731337933534982,0.8008051662366634,0.8045358842143676,0.806848633147324
45,0.8026924438284859,0.8453888016560973,0.8329931938195376,0.8181827588674754,0.7956289652701589,0.8048361877985099,0.7970307049862949,0.8420488248478077,0.8404508696967219,0.8269384991698023
50,0.854391898959228,0.8491814483508684,0.8484097431706114,0.8300673080076478,0.8548616790453696,0.8347877842687527,0.8077554085223537,0.8544737935934654,0.8427135453436095,0.8464415177018109
55,0.851875735874076,0.8420811545827359,0.8485744279652172,0.8308292839560573,0.849895270199912,0.8620755959852895,0.8378564911115715,0.8551129261666176,0.843948681968012,0.8087401714714995
60,0.8843966645059783,0.8490664083181817,0.8249353059909122,0.8507762422975543,0.8656884801580423,0.8810002593084738,0.8332321394260039,0.8703895555620925,0.8543741793846183,0.8533756946185451
