,Madelon SSE (left),cars SSE (left)
2,34681.18222115507,52968.02717282718
5,31995.91801707325,40385.60036675886
10,29838.846968776295,34076.234715992745
15,28569.5191206968,30630.741668559487
20,27531.12714522549,28276.419847497258
25,26817.74838412035,26384.658269378902
30,26169.679570065156,24795.300064342937
35,25614.42517771507,23775.17809459236
40,25163.095641391305,22280.15772953041
