,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.11139569282531739,0.005559058360849022,0.001303386688232422,0.00024543755796335015,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.6994219653179191,0.6098265895953757,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.6822916666666666,0.0362928248949727,210,0.7004341534008683,0.7054992764109985,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7012447403863045,0.002163087585754307
1,0.3631636619567871,0.05452697623573087,0.0012032032012939454,0.00024565151898962216,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.638728323699422,0.6416184971098265,0.7543352601156069,0.7023121387283237,0.7034883720930233,0.6880787037037037,0.043436214941807716,199,0.8060781476121563,0.7916063675832128,0.8024602026049205,0.8104196816208393,0.7947976878612717,0.8010724174564802,0.006976144509170674
2,0.4793717384338379,0.12554573730615975,0.0011031627655029297,0.00020051084715576,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.8121387283236994,0.6242774566473989,0.6213872832369942,0.7138728323699421,0.7994186046511628,0.7141203703703703,0.08191624289253974,138,0.9826338639652678,0.9240231548480463,0.91027496382055,0.9645441389290883,0.9667630057803468,0.9496478254686599,0.027603457270018675
3,0.42502808570861816,0.05781059235528494,0.0014037132263183595,0.00020070090150001117,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.7369942196531792,0.7832369942196532,0.7312138728323699,0.869942196531792,0.6918604651162791,0.7627314814814815,0.060968080089754545,49,0.9652677279305355,0.9544138929088278,0.9529667149059334,0.984081041968162,0.9595375722543352,0.9632533899935588,0.011274824509853855
4,0.4347533702850342,0.04845790402634791,0.0011026859283447266,0.00020062942555872324,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.615606936416185,0.7716763005780347,0.7369942196531792,0.7601156069364162,0.6569767441860465,0.7083333333333334,0.06124917106802705,149,0.9782923299565847,0.9479015918958031,0.9746743849493488,0.9804630969609262,0.9898843930635838,0.9742431593652492,0.014098196551541828
5,0.43525447845458987,0.13284968333465996,0.0011031150817871094,0.00020053428498604265,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 25}",0.7485549132947977,0.8757225433526011,0.8265895953757225,0.7427745664739884,0.5377906976744186,0.7465277777777778,0.11533914057136482,91,0.9891461649782923,0.9616497829232996,0.9884225759768451,0.9963820549927641,0.9797687861271677,0.9830738729996737,0.011937372375931118
6,0.4484898090362549,0.06364698534908073,0.0013035297393798827,0.0004009486485258941,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 30}",0.708092485549133,0.8959537572254336,0.815028901734104,0.7485549132947977,0.7005813953488372,0.7737268518518519,0.07339924391630998,32,0.984081041968162,0.983357452966715,0.9768451519536903,0.9681620839363242,0.9826589595375722,0.9790209380724926,0.00600489752499601
7,0.3814115524291992,0.08509845414463996,0.0015047073364257812,1.37706080228745e-06,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 35}",0.7312138728323699,0.8294797687861272,0.838150289017341,0.684971098265896,0.7558139534883721,0.7679398148148148,0.05850684126254577,44,0.9797395079594791,0.9739507959479016,0.9775687409551375,0.9949348769898697,0.9956647398843931,0.9843717323473562,0.00911532944082613
8,0.41810879707336424,0.07676037414800399,0.0018051624298095702,0.0006012440200498267,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 40}",0.7456647398843931,0.8988439306358381,0.7832369942196532,0.6589595375722543,0.6686046511627907,0.7511574074074074,0.08739650052899252,76,0.9891461649782923,0.9949348769898697,0.9862518089725036,0.9913169319826338,0.9819364161849711,0.988717239821654,0.004419486543506491
9,0.4186124324798584,0.0888738752024675,0.0017026424407958984,0.0002437582784586197,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 45}",0.7427745664739884,0.8757225433526011,0.8208092485549133,0.7976878612716763,0.502906976744186,0.7482638888888888,0.12956115647058947,86,0.9913169319826338,0.9869753979739508,0.9681620839363242,0.9963820549927641,0.9689306358381503,0.9823534209447647,0.011662546729959939
10,0.4259300231933594,0.1126829179789021,0.0017048835754394532,0.0002458074229209923,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 50}",0.6473988439306358,0.869942196531792,0.7687861271676301,0.6560693641618497,0.5668604651162791,0.7019675925925926,0.10580899373093179,154,0.9934876989869754,0.9992764109985528,0.992040520984081,0.9898697539797395,0.9855491329479769,0.9920447035794652,0.004501170714947103
