,Madelon log-likelihood,cars log-likelihood
2,-7.0433206022597155,-9.148834463661167
5,-6.88241443257148,7.253656524130059
10,-6.72523709399032,18.888580615704754
15,-6.5927628297996295,22.798410329440784
20,-6.467240896112679,25.95906509199634
25,-6.395748717712938,28.914530562914976
30,-6.357368672114445,29.942530115219533
35,-6.26486525883413,31.067224201907575
40,-6.196128696405244,33.07749911466326
