,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.11751089096069336,0.038821645951607635,0.0008024692535400391,0.0002456321640477925,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5,0.49175824175824173,0.5,0.5,0.4835164835164835,0.4950549450549451,0.006593406593406595,170,0.5,0.5343406593406593,0.5,0.5,0.5192307692307693,0.5107142857142857,0.01396512640344927
1,0.14909472465515136,0.03563062517020239,0.0010044097900390625,0.00031440949300420265,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5576923076923077,0.5082417582417582,0.5439560439560439,0.5,0.5164835164835165,0.5252747252747253,0.02193677448096388,157,0.5851648351648352,0.5370879120879121,0.540521978021978,0.5034340659340659,0.5652472527472527,0.5462912087912087,0.02765939195880805
2,0.26510157585144045,0.08356785437013024,0.00140380859375,0.00020062948222380184,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.6510989010989011,0.6346153846153846,0.6401098901098901,0.5851648351648352,0.6730769230769231,0.6368131868131868,0.02899100210609433,128,0.6517857142857143,0.6497252747252747,0.6730769230769231,0.6353021978021978,0.6820054945054945,0.6583791208791209,0.016882756662567677
3,0.30080156326293944,0.12891363691513344,0.0015039443969726562,0.0003170342850008318,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.7005494505494505,0.7060439560439561,0.7115384615384616,0.6236263736263736,0.6868131868131868,0.6857142857142857,0.032113492738906506,112,0.7032967032967034,0.6929945054945055,0.698489010989011,0.6964285714285714,0.7012362637362637,0.698489010989011,0.0036082213012537797
4,0.31674871444702146,0.051237815649461484,0.001604318618774414,0.00020027166321163282,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.6868131868131868,0.7554945054945055,0.6978021978021978,0.6565934065934066,0.75,0.7093406593406594,0.037963812461812525,88,0.7129120879120879,0.7307692307692307,0.7032967032967034,0.6964285714285714,0.7300824175824175,0.7146978021978021,0.013870225891609142
5,0.42271876335144043,0.040833184435305536,0.0017045974731445313,0.0002454573914140606,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.75,0.7142857142857143,0.717032967032967,0.6813186813186813,0.75,0.7225274725274725,0.025712876828126566,62,0.7328296703296703,0.7369505494505495,0.7307692307692307,0.7335164835164835,0.7616758241758241,0.7391483516483517,0.011438275149212114
6,0.46473016738891604,0.1267879946198001,0.0018045902252197266,0.0002456710667660305,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.75,0.7032967032967034,0.7664835164835165,0.7032967032967034,0.7417582417582418,0.7329670329670329,0.025500662386532504,23,0.7493131868131868,0.7266483516483516,0.7836538461538461,0.7101648351648352,0.7589285714285714,0.7457417582417583,0.025511758798174033
7,0.5214799404144287,0.09973079549306314,0.002612018585205078,0.00037853679887017765,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.7417582417582418,0.7527472527472527,0.7582417582417582,0.7032967032967034,0.7115384615384616,0.7335164835164835,0.022114958019228664,20,0.7451923076923077,0.760989010989011,0.7760989010989011,0.7438186813186813,0.742445054945055,0.7537087912087912,0.0130501734906743
8,0.5823405742645263,0.05005492813818879,0.0028080463409423826,0.0006013155432546402,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.7582417582417582,0.6675824175824175,0.75,0.7142857142857143,0.7417582417582418,0.7263736263736263,0.032902867959516205,53,0.7431318681318682,0.7245879120879121,0.7644230769230769,0.7548076923076923,0.771978021978022,0.7517857142857143,0.016680372137213056
9,0.05745062828063965,0.0048681137162116875,0.0007018089294433594,0.00024574905727732125,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.5,0.46703296703296704,0.5302197802197802,0.489010989010989,0.48626373626373626,0.4945054945054945,0.020777659781526413,171,0.5185439560439561,0.4883241758241758,0.4883241758241758,0.5082417582417582,0.507554945054945,0.5021978021978022,0.011978147998127289
10,0.08592700958251953,0.008025199348361992,0.0008089542388916016,0.00025130793041404966,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.5769230769230769,0.49725274725274726,0.4945054945054945,0.5302197802197802,0.6181318681318682,0.5434065934065934,0.047754807884924755,152,0.5693681318681318,0.47115384615384615,0.5384615384615384,0.5508241758241759,0.6009615384615384,0.5461538461538462,0.04300876602317685
