,N_Components,Reconstruction_Error
0,2,0.9766009482086129
1,5,0.9567108494505248
2,10,0.9356080074915484
3,15,0.9148567868257906
4,20,0.894825879122247
5,25,0.8749710077915857
6,30,0.8556530806377305
7,35,0.8368287568178815
8,40,0.8183285041646604
9,45,0.8001053449827132
10,50,0.7872040080808035
11,55,0.769966654517913
12,60,0.7526024845390866
13,80,0.6871294576766724
14,100,0.6260121487983885
15,120,0.5683776444958716
