,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.18909115791320802,0.11425976120795053,0.0007963180541992188,0.00039842585228962217,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.708092485549133,0.5491329479768786,0.6994219653179191,0.7196531791907514,0.7034883720930233,0.6759259259259259,0.06380299569918266,160,0.7923299565846599,0.8191027496382055,0.7120115774240231,0.7344428364688856,0.6994219653179191,0.7514618170867386,0.046474969317452805
1,0.2601738452911377,0.07587269494406802,0.0009966373443603515,1.025299688405414e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.430635838150289,0.7658959537572254,0.8323699421965318,0.6936416184971098,0.6453488372093024,0.6736111111111112,0.13715826208957005,163,0.8871201157742402,0.9196816208393632,0.9240231548480463,0.7836468885672938,0.8049132947976878,0.8638770149653263,0.058626866524851044
2,0.43506555557250975,0.079605293416996,0.0007020950317382813,0.00040116317204454713,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.5982658959537572,0.7283236994219653,0.8294797687861272,0.7687861271676301,0.7877906976744186,0.7424768518518519,0.07916628044062443,101,0.9283646888567294,0.9196816208393632,0.9153400868306801,0.8958031837916064,0.880057803468208,0.9078494767573174,0.01751840791143789
3,0.36049346923828124,0.12441400701090775,0.0007019519805908203,0.0004011155025084837,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.615606936416185,0.7485549132947977,0.9161849710982659,0.884393063583815,0.8633720930232558,0.8055555555555556,0.11061458046078648,25,0.9363241678726484,0.9565846599131693,0.9616497829232996,0.8487698986975398,0.8829479768786127,0.9172552972570539,0.04415548210237439
4,0.3381640434265137,0.07985788436002021,0.0006009578704833984,0.0004906811818227498,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.6098265895953757,0.6878612716763006,0.861271676300578,0.9075144508670521,0.9127906976744186,0.7957175925925926,0.12385465885885528,40,0.9377713458755427,0.9479015918958031,0.9667149059334298,0.9739507959479016,0.9111271676300579,0.947493161456547,0.022300887445192423
5,0.3103677272796631,0.02960567840704585,0.000601816177368164,0.0004913808743042954,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.661849710982659,0.8641618497109826,0.8034682080924855,0.9479768786127167,0.9331395348837209,0.8420138888888888,0.10390560975891827,5,0.9855282199710564,0.9826338639652678,0.9804630969609262,0.9891461649782923,0.990606936416185,0.9856756564583454,0.00381593938663806
6,0.3032773494720459,0.04077422187251355,0.0008023738861083985,0.00040118800217140744,0.1,"(50, 50)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 14}",0.8063583815028902,0.8323699421965318,0.7774566473988439,0.8063583815028902,0.7936046511627907,0.8032407407407407,0.01803866732825671,27,0.9905933429811867,0.9891461649782923,0.983357452966715,0.9855282199710564,0.986271676300578,0.9869793714395657,0.0025876920590130145
7,0.2770057678222656,0.03230466293556382,0.001202392578125,0.0004014738488553165,0.1,"(50, 50)",16,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 16}",0.7630057803468208,0.8786127167630058,0.7861271676300579,0.7196531791907514,0.8430232558139535,0.7980324074074074,0.05663232973480378,35,0.9876989869753979,0.9855282199710564,0.9869753979739508,0.9949348769898697,0.9819364161849711,0.9874147796190492,0.004251994067243097
8,0.27379841804504396,0.05863901817982443,0.0010001659393310547,5.247375734229006e-06,0.1,"(50, 50)",18,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 18}",0.7687861271676301,0.846820809248555,0.7890173410404624,0.7861271676300579,0.7732558139534884,0.7928240740740741,0.02806444784117378,47,0.992040520984081,0.9696092619392185,0.9782923299565847,0.9862518089725036,0.9754335260115607,0.9803254895727896,0.007940602027539755
9,0.05485658645629883,0.011720294904497868,0.000601959228515625,0.0004914978601171378,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7456647398843931,0.7034883720930233,0.7094907407407407,0.01816825313769355,133,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7373371924746743,0.6994219653179191,0.7076123235990396,0.014867603577097011
10,0.16498308181762694,0.0371515795938277,0.0006028175354003906,0.00020284680732811713,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.49710982658959535,0.6329479768786127,0.7658959537572254,0.7312138728323699,0.6773255813953488,0.6608796296296297,0.09369707799532068,167,0.837192474674385,0.8798842257597684,0.8104196816208393,0.7626628075253257,0.791907514450867,0.8164133408062371,0.03996474682734132
