,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.09605498313903808,0.006391439579233036,0.0007999420166015625,0.00024360762469560727,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,136,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
1,0.15781764984130858,0.044204171040111456,0.0007020473480224609,0.00024555421974653687,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.6994219653179191,0.6445086705202312,0.7716763005780347,0.6994219653179191,0.7034883720930233,0.7037037037037037,0.040423963667082764,128,0.7004341534008683,0.7937771345875543,0.7402315484804631,0.7004341534008683,0.6994219653179191,0.7268597910375346,0.036894979859413535
2,0.23582801818847657,0.06458617024222142,0.0005012035369873046,3.504023183989303e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.6820809248554913,0.8497109826589595,0.6994219653179191,0.7687861271676301,0.7965116279069767,0.7592592592592593,0.061985803797378836,77,0.8581765557163531,0.8162083936324168,0.7004341534008683,0.7648335745296672,0.7716763005780347,0.782265795571468,0.05296599071839329
3,0.2424445629119873,0.019065814345323878,0.0008999347686767578,0.0001992157852312209,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.6560693641618497,0.8063583815028902,0.8121387283236994,0.7832369942196532,0.8459302325581395,0.7806712962962963,0.06548457713199841,51,0.861794500723589,0.8154848046309696,0.7539797395079595,0.7720694645441389,0.8027456647398844,0.8012148348293083,0.03730007570312601
4,0.24647488594055175,0.014759963864043745,0.0008019447326660156,0.00024559329219980326,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.653179190751445,0.8439306358381503,0.8497109826589595,0.846820809248555,0.8430232558139535,0.8072916666666666,0.07714763823830682,13,0.8480463096960926,0.8205499276410999,0.7778581765557163,0.8039073806078147,0.8078034682080925,0.8116330525417632,0.022893361173043313
5,0.255982494354248,0.026214309772207844,0.0008021831512451172,0.0002456906222416388,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.6907514450867052,0.7774566473988439,0.8121387283236994,0.8439306358381503,0.7616279069767442,0.7771990740740741,0.05177585346852137,58,0.8321273516642547,0.8111432706222865,0.7670043415340086,0.8031837916063675,0.7796242774566474,0.7986166065767131,0.023068551727679142
6,0.32987303733825685,0.010705357934511387,0.0008021831512451172,0.000245495784643015,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.6560693641618497,0.684971098265896,0.869942196531792,0.7745664739884393,0.8459302325581395,0.7662037037037037,0.08475968926586688,68,0.8516642547033285,0.8140376266280752,0.7995658465991317,0.7858176555716353,0.8143063583815029,0.8130783483767348,0.02198651162364645
7,0.304808235168457,0.025006754030412748,0.0012013435363769532,0.0002422363457522831,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.6676300578034682,0.8034682080924855,0.8583815028901735,0.861271676300578,0.8197674418604651,0.8020833333333334,0.07084105228741394,27,0.8646888567293777,0.8104196816208393,0.821273516642547,0.8118668596237337,0.8164739884393064,0.8249445806111609,0.020232817912829798
8,0.3258617877960205,0.04553313228457042,0.001204061508178711,0.00024495136419898356,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.6936416184971098,0.7456647398843931,0.8872832369942196,0.8439306358381503,0.8459302325581395,0.8032407407407407,0.07195492849547616,23,0.8654124457308249,0.8191027496382055,0.8039073806078147,0.8031837916063675,0.805635838150289,0.8194484411467003,0.023705107504114344
9,0.0685814380645752,0.007498503603247931,0.0006019115447998047,0.00020055787879621014,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,136,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
10,0.09967236518859864,0.0051985988369497626,0.0006015777587890625,0.00020060542079199033,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.6994219653179191,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7034883720930233,0.7002314814814815,0.0016237319954344998,136,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.7004341534008683,0.6994219653179191,0.7002317157842785,0.00040487523317969123
