,Madelon SSE (left),cars SSE (left)
2,7712.164865596063,10917.81818181818
5,5605.381757550555,7705.6
10,4052.7180563068932,4992.0
15,3330.013787007376,4031.9999999999995
20,2895.531919147627,3072.0
25,2563.7212238613856,2112.0000000000005
30,2342.1860127007403,1576.8083751839831
35,2169.897737154274,1330.6748714710284
40,2036.8687261340108,1082.071144543639
