,N_Components,Reconstruction_Error
0,2,0.8333333333333334
1,4,0.6666666666666667
2,6,0.5000000000000001
3,8,0.35185185185185186
4,10,0.2037037037037037
5,12,0.05555555555555556
6,14,4.252956397055659e-30
7,16,5.634976777979993e-31
8,18,3.655469523205688e-31
