Clustering_Algorithm,N_Clusters,Dataset,Metric,Value,Data_Perspective
GMM,5,Madelon,Mutual_Information,0.0156023585205491,BASE
Kmeans,5,Madelon,Mutual_Information,0.008663641981602802,BASE
GMM,10,Madelon,Mutual_Information,0.010035246684453531,BASE
Kmeans,10,Madelon,Mutual_Information,0.015401661520791013,BASE
GMM,15,Madelon,Mutual_Information,0.009465230105560168,BASE
Kmeans,15,Madelon,Mutual_Information,0.007453920156881912,BASE
GMM,20,Madelon,Mutual_Information,0.010090971470713255,BASE
Kmeans,20,Madelon,Mutual_Information,0.008037422035182226,BASE
GMM,25,Madelon,Mutual_Information,0.006758730538997713,BASE
Kmeans,25,Madelon,Mutual_Information,0.0031250770450085234,BASE
GMM,30,Madelon,Mutual_Information,0.00544760288381104,BASE
Kmeans,30,Madelon,Mutual_Information,0.006427649353973722,BASE
GMM,35,Madelon,Mutual_Information,0.004498927968118118,BASE
Kmeans,35,Madelon,Mutual_Information,0.003544523229145994,BASE
GMM,40,Madelon,Mutual_Information,0.004102539158774241,BASE
Kmeans,40,Madelon,Mutual_Information,0.003393355335987241,BASE
K_Means,2,Madelon,SSE,25919.16941154667,ICA
K_Means,5,Madelon,SSE,23805.08093234486,ICA
K_Means,10,Madelon,SSE,21680.90724276673,ICA
K_Means,15,Madelon,SSE,20389.56303161273,ICA
K_Means,20,Madelon,SSE,19498.18780314893,ICA
K_Means,25,Madelon,SSE,18810.76244374593,ICA
K_Means,30,Madelon,SSE,18196.739312347258,ICA
K_Means,35,Madelon,SSE,17761.460020730257,ICA
K_Means,40,Madelon,SSE,17291.711201727332,ICA
K_Means,2,Cars,SSE,20441.92717451741,ICA
K_Means,5,Cars,SSE,16487.993517215116,ICA
K_Means,10,Cars,SSE,14458.596181119548,ICA
K_Means,15,Cars,SSE,12721.524125015381,ICA
K_Means,20,Cars,SSE,11919.971622765608,ICA
K_Means,25,Cars,SSE,11240.393237108421,ICA
K_Means,30,Cars,SSE,10801.409464029452,ICA
K_Means,35,Cars,SSE,10528.748074249392,ICA
K_Means,40,Cars,SSE,10001.67462663793,ICA
EM,2,Madelon,log-likelihood,-21.243583564158094,ICA
EM,5,Madelon,log-likelihood,-20.922156444136004,ICA
EM,10,Madelon,log-likelihood,-20.593893580425448,ICA
EM,15,Madelon,log-likelihood,-20.23289112431373,ICA
EM,20,Madelon,log-likelihood,-19.926388687209485,ICA
EM,25,Madelon,log-likelihood,-19.537038466860963,ICA
EM,30,Madelon,log-likelihood,-19.23248605996476,ICA
EM,35,Madelon,log-likelihood,-19.04157609954961,ICA
EM,40,Madelon,log-likelihood,-18.793429329381503,ICA
EM,2,Cars,log-likelihood,-3.9185604003125327,ICA
EM,5,Cars,log-likelihood,11.92731013675665,ICA
EM,10,Cars,log-likelihood,20.843801685490845,ICA
EM,15,Cars,log-likelihood,27.73315851051841,ICA
EM,20,Cars,log-likelihood,31.47657328106788,ICA
EM,25,Cars,log-likelihood,31.696819781177467,ICA
EM,30,Cars,log-likelihood,35.06424320746923,ICA
EM,35,Cars,log-likelihood,35.75099688509762,ICA
EM,40,Cars,log-likelihood,37.77534156367773,ICA
GMM,2,Cars,Accuracy,0.7002314814814815,ICA
Kmeans,2,Cars,Accuracy,0.7002314814814815,ICA
GMM,5,Cars,Accuracy,0.7002314814814815,ICA
Kmeans,5,Cars,Accuracy,0.7002314814814815,ICA
GMM,10,Cars,Accuracy,0.7002314814814815,ICA
Kmeans,10,Cars,Accuracy,0.7002314814814815,ICA
GMM,15,Cars,Accuracy,0.7042824074074074,ICA
Kmeans,15,Cars,Accuracy,0.7002314814814815,ICA
GMM,20,Cars,Accuracy,0.7083333333333334,ICA
Kmeans,20,Cars,Accuracy,0.7013888888888888,ICA
GMM,25,Cars,Accuracy,0.7222222222222222,ICA
Kmeans,25,Cars,Accuracy,0.7112268518518519,ICA
GMM,30,Cars,Accuracy,0.7164351851851852,ICA
Kmeans,30,Cars,Accuracy,0.7320601851851852,ICA
GMM,35,Cars,Accuracy,0.7175925925925926,ICA
Kmeans,35,Cars,Accuracy,0.7228009259259259,ICA
GMM,40,Cars,Accuracy,0.7384259259259259,ICA
Kmeans,40,Cars,Accuracy,0.7361111111111112,ICA
GMM,2,Cars,Mutual_Information,0.036149890808829285,ICA
Kmeans,2,Cars,Mutual_Information,0.036149890808829285,ICA
GMM,5,Cars,Mutual_Information,0.04340714780929534,ICA
Kmeans,5,Cars,Mutual_Information,0.04340714780929534,ICA
GMM,10,Cars,Mutual_Information,0.04883246762775708,ICA
Kmeans,10,Cars,Mutual_Information,0.05303779926511009,ICA
GMM,15,Cars,Mutual_Information,0.044846364069181056,ICA
Kmeans,15,Cars,Mutual_Information,0.07058346729543942,ICA
GMM,20,Cars,Mutual_Information,0.06448953718747491,ICA
Kmeans,20,Cars,Mutual_Information,0.058207899498023824,ICA
GMM,25,Cars,Mutual_Information,0.07811963286907325,ICA
Kmeans,25,Cars,Mutual_Information,0.07680908238690133,ICA
GMM,30,Cars,Mutual_Information,0.0710652941233984,ICA
Kmeans,30,Cars,Mutual_Information,0.0826565652939028,ICA
GMM,35,Cars,Mutual_Information,0.06823385869437927,ICA
Kmeans,35,Cars,Mutual_Information,0.06495537930287239,ICA
GMM,40,Cars,Mutual_Information,0.06783453081013746,ICA
Kmeans,40,Cars,Mutual_Information,0.06778232165375156,ICA
GMM,2,Madelon,Accuracy,0.5258241758241758,ICA
Kmeans,2,Madelon,Accuracy,0.5038461538461538,ICA
GMM,5,Madelon,Accuracy,0.5285714285714286,ICA
Kmeans,5,Madelon,Accuracy,0.5593406593406594,ICA
GMM,10,Madelon,Accuracy,0.5565934065934066,ICA
Kmeans,10,Madelon,Accuracy,0.5598901098901099,ICA
GMM,15,Madelon,Accuracy,0.5813186813186814,ICA
Kmeans,15,Madelon,Accuracy,0.5730769230769229,ICA
GMM,20,Madelon,Accuracy,0.5950549450549449,ICA
Kmeans,20,Madelon,Accuracy,0.5769230769230769,ICA
GMM,25,Madelon,Accuracy,0.6087912087912087,ICA
Kmeans,25,Madelon,Accuracy,0.5923076923076923,ICA
GMM,30,Madelon,Accuracy,0.6021978021978022,ICA
Kmeans,30,Madelon,Accuracy,0.6038461538461538,ICA
GMM,35,Madelon,Accuracy,0.6076923076923076,ICA
Kmeans,35,Madelon,Accuracy,0.6027472527472527,ICA
GMM,40,Madelon,Accuracy,0.5978021978021978,ICA
Kmeans,40,Madelon,Accuracy,0.6054945054945055,ICA
GMM,2,Madelon,Mutual_Information,0.0015309851182672596,ICA
Kmeans,2,Madelon,Mutual_Information,-0.00035411704853000536,ICA
GMM,5,Madelon,Mutual_Information,0.001665025084949378,ICA
Kmeans,5,Madelon,Mutual_Information,0.0048317237352941324,ICA
GMM,10,Madelon,Mutual_Information,0.003022907367346509,ICA
Kmeans,10,Madelon,Mutual_Information,0.0037942472324510967,ICA
GMM,15,Madelon,Mutual_Information,0.007090415155956519,ICA
Kmeans,15,Madelon,Mutual_Information,0.004241580567654008,ICA
GMM,20,Madelon,Mutual_Information,0.008647201258817601,ICA
Kmeans,20,Madelon,Mutual_Information,0.005736879247665243,ICA
GMM,25,Madelon,Mutual_Information,0.009120207571466444,ICA
Kmeans,25,Madelon,Mutual_Information,0.005918962570024869,ICA
GMM,30,Madelon,Mutual_Information,0.0075084853607818094,ICA
Kmeans,30,Madelon,Mutual_Information,0.006697786873877403,ICA
GMM,35,Madelon,Mutual_Information,0.008134317107185941,ICA
Kmeans,35,Madelon,Mutual_Information,0.006719015865084305,ICA
GMM,40,Madelon,Mutual_Information,0.005449600379139125,ICA
Kmeans,40,Madelon,Mutual_Information,0.0073030557903509185,ICA
K_Means,2,Madelon,SSE,7712.1648655960635,PCA
K_Means,5,Madelon,SSE,5605.381757550555,PCA
K_Means,10,Madelon,SSE,4052.718056306893,PCA
K_Means,15,Madelon,SSE,3330.0137870073763,PCA
K_Means,20,Madelon,SSE,2895.531919147627,PCA
K_Means,25,Madelon,SSE,2563.7212238613856,PCA
K_Means,30,Madelon,SSE,2342.1860127007403,PCA
K_Means,35,Madelon,SSE,2169.897737154274,PCA
K_Means,40,Madelon,SSE,2036.8687261340106,PCA
K_Means,2,Cars,SSE,19567.407407407405,PCA
K_Means,5,Cars,SSE,15120.0,PCA
K_Means,10,Cars,SSE,12960.0,PCA
K_Means,15,Cars,SSE,11016.0,PCA
K_Means,20,Cars,SSE,10031.4,PCA
K_Means,25,Cars,SSE,9555.042533936652,PCA
K_Means,30,Cars,SSE,9151.063728428437,PCA
K_Means,35,Cars,SSE,8643.893848257007,PCA
K_Means,40,Cars,SSE,8401.071328671327,PCA
EM,2,Madelon,log-likelihood,-7.043320602259716,PCA
