mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,N_Components/Clusters/Features,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,Data_Perspective,Dataset,Clustering_Algorithm,Clustered_Data
0.32066936492919923,0.05139777408774325,0.006010055541992188,0.0009039024708472082,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 20}",0.7123842592592593,0.0814787874160233,134,0.9492157633654836,0.028334960914158037,RF,Cars,None,0
0.21357288360595705,0.0123761790391348,0.005414581298828125,0.0008626313490562987,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 2}",0.7424768518518519,0.07899185110513278,72,0.7672360573182871,0.0389447287904305,RF,Cars,None,0
0.24374098777771,0.009893159481235831,0.006618070602416992,0.0010708280942375028,0.1,"(25, 25)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 4}",0.7592592592592593,0.1201645255671141,48,0.8200181106380129,0.014695668484567503,RF,Cars,None,0
0.28947858810424804,0.03577014752120053,0.005615091323852539,0.0012035490366397554,0.1,"(25, 25)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 6}",0.7141203703703703,0.0836078811589901,129,0.8635725220213647,0.010283553126306941,RF,Cars,None,0
0.34091777801513673,0.00866590288928654,0.005215072631835936,0.0011240407253453688,0.1,"(25, 25)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 8}",0.7146990740740741,0.07149145484740409,128,0.8980028107040982,0.004920706842377449,RF,Cars,None,0
0.3277905941009521,0.026148866085592644,0.005017375946044922,0.0007825505426582598,0.1,"(25, 25)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 10}",0.7129629629629629,0.05389541779261572,130,0.9104460319717592,0.005453628108703796,RF,Cars,None,0
0.3515469551086426,0.032326269964037965,0.006016016006469727,0.0009516303331308179,0.1,"(25, 25)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 12}",0.7268518518518519,0.05044970882753812,99,0.9362007813088176,0.010257364378733605,RF,Cars,None,0
0.3932592868804932,0.030599344400226783,0.0051204681396484365,0.0011571632549612018,0.1,"(25, 25)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 14}",0.7019675925925926,0.07494918873079172,160,0.9641189781082956,0.003394292996830861,RF,Cars,None,0
0.4617427349090576,0.05279628264381201,0.006718063354492186,0.0005111930436048013,0.1,"(25, 25)",16,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 16}",0.7546296296296297,0.056145659619106426,56,0.9785844842441632,0.009994039775999192,RF,Cars,None,0
0.4201309680938721,0.0198900349682142,0.0066179752349853505,0.0004911083700459803,0.1,"(25, 25)",18,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 18}",0.7818287037037037,0.03239364689536422,27,0.9794546732138226,0.011104711535093436,RF,Cars,None,0
