Data_Perspective,Dataset,N_Components,Metric,Value
ICA,Madelon,25,Avg_Component_Absolute_Kurtosis,0.5253102161455069
ICA,Madelon,30,Avg_Component_Absolute_Kurtosis,0.5998639022491753
ICA,Madelon,35,Avg_Component_Absolute_Kurtosis,0.6852966843250258
ICA,Madelon,40,Avg_Component_Absolute_Kurtosis,0.7487449084019737
ICA,Madelon,45,Avg_Component_Absolute_Kurtosis,0.6016641495778138
ICA,Madelon,50,Avg_Component_Absolute_Kurtosis,0.8118615979614034
ICA,Madelon,55,Avg_Component_Absolute_Kurtosis,0.9364410640219416
ICA,Madelon,60,Avg_Component_Absolute_Kurtosis,0.939860385649528
ICA,Madelon,2,Reconstruction_Error,0.9766009330183668
ICA,Madelon,5,Reconstruction_Error,0.9566499660056059
ICA,Madelon,10,Reconstruction_Error,0.934709613164095
ICA,Madelon,15,Reconstruction_Error,0.9135919741605396
ICA,Madelon,20,Reconstruction_Error,0.8930120642158431
ICA,Madelon,25,Reconstruction_Error,0.8729118296948604
ICA,Madelon,30,Reconstruction_Error,0.8533029830454104
ICA,Madelon,35,Reconstruction_Error,0.834146089009982
ICA,Madelon,40,Reconstruction_Error,0.8154052565572719
ICA,Madelon,45,Reconstruction_Error,0.797064174636272
ICA,Madelon,50,Reconstruction_Error,0.7791302240436998
ICA,Madelon,55,Reconstruction_Error,0.7615528025302014
ICA,Madelon,60,Reconstruction_Error,0.7442759299335079
PCA,Madelon,1,Explained_Variance,6.666437413533332
PCA,Madelon,2,Explained_Variance,5.039527926371092
PCA,Madelon,3,Explained_Variance,4.2662865473687415
PCA,Madelon,4,Explained_Variance,3.1818864788633463
PCA,Madelon,5,Explained_Variance,2.5327945282554163
PCA,Madelon,6,Explained_Variance,2.2473880567382065
PCA,Madelon,7,Explained_Variance,2.217127305753761
PCA,Madelon,8,Explained_Variance,2.18721956770881
PCA,Madelon,9,Explained_Variance,2.1663768434702213
PCA,Madelon,10,Explained_Variance,2.158095530218285
PCA,Madelon,11,Explained_Variance,2.141974553799269
PCA,Madelon,12,Explained_Variance,2.120784941252992
PCA,Madelon,13,Explained_Variance,2.112467294033873
PCA,Madelon,14,Explained_Variance,2.103902378784797
PCA,Madelon,15,Explained_Variance,2.085495072500756
PCA,Madelon,16,Explained_Variance,2.0805895036621624
PCA,Madelon,17,Explained_Variance,2.0701368172508143
PCA,Madelon,18,Explained_Variance,2.0590417447418066
PCA,Madelon,19,Explained_Variance,2.049783883457108
PCA,Madelon,20,Explained_Variance,2.0360599528523946
PCA,Madelon,21,Explained_Variance,2.032242820817341
PCA,Madelon,22,Explained_Variance,2.015466285313812
PCA,Madelon,23,Explained_Variance,2.011429523085131
PCA,Madelon,24,Explained_Variance,2.0058833522505317
PCA,Madelon,25,Explained_Variance,1.9906203572328809
PCA,Madelon,26,Explained_Variance,1.985147783315649
PCA,Madelon,27,Explained_Variance,1.9633179255055784
PCA,Madelon,28,Explained_Variance,1.959594478735818
PCA,Madelon,29,Explained_Variance,1.952274498430484
PCA,Madelon,30,Explained_Variance,1.9494786460626932
PCA,Madelon,31,Explained_Variance,1.9424757452090249
PCA,Madelon,32,Explained_Variance,1.934380261618669
PCA,Madelon,33,Explained_Variance,1.9117349139390178
PCA,Madelon,34,Explained_Variance,1.9055586437466516
PCA,Madelon,35,Explained_Variance,1.8895632294611973
PCA,Madelon,36,Explained_Variance,1.8875938304977744
PCA,Madelon,37,Explained_Variance,1.8863306362155032
PCA,Madelon,38,Explained_Variance,1.8786958501695097
PCA,Madelon,39,Explained_Variance,1.864759789136221
PCA,Madelon,40,Explained_Variance,1.858187531125548
PCA,Madelon,41,Explained_Variance,1.8541477277643608
PCA,Madelon,42,Explained_Variance,1.8381297258185465
PCA,Madelon,43,Explained_Variance,1.8340183122308804
PCA,Madelon,44,Explained_Variance,1.832173914572083
PCA,Madelon,45,Explained_Variance,1.8171128089546176
PCA,Madelon,46,Explained_Variance,1.807817454252004
PCA,Madelon,47,Explained_Variance,1.7986100038230857
PCA,Madelon,48,Explained_Variance,1.7939085705888131
PCA,Madelon,49,Explained_Variance,1.7900216350219031
PCA,Madelon,50,Explained_Variance,1.781547250684962
PCA,Madelon,51,Explained_Variance,1.7775315382826702
PCA,Madelon,52,Explained_Variance,1.7680127546497804
PCA,Madelon,53,Explained_Variance,1.7573382401293505
PCA,Madelon,54,Explained_Variance,1.751146652941742
PCA,Madelon,55,Explained_Variance,1.7395131874343477
PCA,Madelon,56,Explained_Variance,1.7374896976593752
PCA,Madelon,57,Explained_Variance,1.7355760003919036
PCA,Madelon,58,Explained_Variance,1.7255967223674005
PCA,Madelon,59,Explained_Variance,1.7251157503530872
PCA,Madelon,60,Explained_Variance,1.7194071304878995
PCA,Madelon,61,Explained_Variance,1.7095875076840406
PCA,Madelon,62,Explained_Variance,1.7077666480481957
PCA,Madelon,63,Explained_Variance,1.7047823815126169
PCA,Madelon,64,Explained_Variance,1.6927549948562362
PCA,Madelon,65,Explained_Variance,1.6875038687778208
PCA,Madelon,66,Explained_Variance,1.6801888415900719
PCA,Madelon,67,Explained_Variance,1.671862778314953
PCA,Madelon,68,Explained_Variance,1.6698968242122565
PCA,Madelon,69,Explained_Variance,1.6663308285141492
PCA,Madelon,70,Explained_Variance,1.6595780439289345
PCA,Madelon,71,Explained_Variance,1.6570447581825003
PCA,Madelon,72,Explained_Variance,1.6473259807757452
PCA,Madelon,73,Explained_Variance,1.6464601754307469
PCA,Madelon,74,Explained_Variance,1.639573829689626
PCA,Madelon,75,Explained_Variance,1.629010105523255
PCA,Madelon,76,Explained_Variance,1.6283868202324712
PCA,Madelon,77,Explained_Variance,1.6208535297352753
PCA,Madelon,78,Explained_Variance,1.6119214713525103
PCA,Madelon,79,Explained_Variance,1.6093440436669963
PCA,Madelon,80,Explained_Variance,1.60500945603362
PCA,Madelon,81,Explained_Variance,1.6023782025020086
PCA,Madelon,82,Explained_Variance,1.5920684486721992
PCA,Madelon,83,Explained_Variance,1.5871863247970166
PCA,Madelon,84,Explained_Variance,1.5835982960532584
PCA,Madelon,85,Explained_Variance,1.5783053593045708
PCA,Madelon,86,Explained_Variance,1.57322582807942
PCA,Madelon,87,Explained_Variance,1.567844755094721
PCA,Madelon,88,Explained_Variance,1.5548742069206969
PCA,Madelon,89,Explained_Variance,1.5516630691196889
PCA,Madelon,90,Explained_Variance,1.5451045085735338
PCA,Madelon,91,Explained_Variance,1.541849738616136
PCA,Madelon,92,Explained_Variance,1.536191415256854
PCA,Madelon,93,Explained_Variance,1.533218299183631
PCA,Madelon,94,Explained_Variance,1.5257738221788049
PCA,Madelon,95,Explained_Variance,1.5135743541053603
PCA,Madelon,96,Explained_Variance,1.5102918058846944
PCA,Madelon,97,Explained_Variance,1.5000047247459667
PCA,Madelon,98,Explained_Variance,1.4975760538770535
PCA,Madelon,99,Explained_Variance,1.4949541317696509
PCA,Madelon,100,Explained_Variance,1.4916724206992658
PCA,Madelon,101,Explained_Variance,1.490075058875436
PCA,Madelon,102,Explained_Variance,1.4819699475828707
PCA,Madelon,103,Explained_Variance,1.4766725511092669
PCA,Madelon,104,Explained_Variance,1.4745421750124872
PCA,Madelon,105,Explained_Variance,1.4628812726399167
PCA,Madelon,106,Explained_Variance,1.4577815492930395
PCA,Madelon,107,Explained_Variance,1.4566498934405443
PCA,Madelon,108,Explained_Variance,1.4539927340196461
PCA,Madelon,109,Explained_Variance,1.4470668557860995
PCA,Madelon,110,Explained_Variance,1.4451614719220354
PCA,Madelon,111,Explained_Variance,1.43720925913416
PCA,Madelon,112,Explained_Variance,1.4336654335582557
PCA,Madelon,113,Explained_Variance,1.425578971992094
PCA,Madelon,114,Explained_Variance,1.4242630924476145
PCA,Madelon,115,Explained_Variance,1.4201473490805234
PCA,Madelon,116,Explained_Variance,1.4156199170015085
PCA,Madelon,117,Explained_Variance,1.4132949274738595
PCA,Madelon,118,Explained_Variance,1.4052037908485198
PCA,Madelon,119,Explained_Variance,1.4029614062317397
PCA,Madelon,120,Explained_Variance,1.3991110590835167
PCA,Madelon,121,Explained_Variance,1.39299619779955
PCA,Madelon,122,Explained_Variance,1.388239733884348
PCA,Madelon,123,Explained_Variance,1.3845957628294454
PCA,Madelon,124,Explained_Variance,1.3782038858557637
PCA,Madelon,125,Explained_Variance,1.3736039514200435
PCA,Madelon,126,Explained_Variance,1.3707484312784808
PCA,Madelon,127,Explained_Variance,1.3634708800431383
PCA,Madelon,128,Explained_Variance,1.359855849421134
PCA,Madelon,129,Explained_Variance,1.350625172286802
PCA,Madelon,130,Explained_Variance,1.3451703790577545
PCA,Madelon,131,Explained_Variance,1.342638449874071
PCA,Madelon,132,Explained_Variance,1.3357091060766728
PCA,Madelon,133,Explained_Variance,1.3333118007139564
PCA,Madelon,134,Explained_Variance,1.3274338662464455
PCA,Madelon,135,Explained_Variance,1.3243012609481253
PCA,Madelon,136,Explained_Variance,1.3220550327295553
PCA,Madelon,137,Explained_Variance,1.3148087246345233
PCA,Madelon,138,Explained_Variance,1.3140396903022542
PCA,Madelon,139,Explained_Variance,1.308878230338749
PCA,Madelon,140,Explained_Variance,1.3061621353391346
PCA,Madelon,141,Explained_Variance,1.2995480305996363
PCA,Madelon,142,Explained_Variance,1.2964158670916044
